manufacturer,model,year,price,kbb_price,price_difference,risk_score_M3
ford,F350,2013,23800,14526.0,9274.0,0.01
ford,F250,2014,28440,13316.0,15124.0,0.01
chevrolet,Silverado 1500 Crew Cab,2019,32792,23404.0,9388.0,0.01
chevrolet,Silverado 1500 Crew Cab,2015,26498,14533.0,11965.0,0.01
ford,F150 SuperCrew Cab,2017,45750,19821.0,25929.0,0.01
ford,F350,2020,69997,40517.0,29480.0,0.01
chevrolet,SUBURBAN,2013,16895,12648.0,4247.0,0.01
ford,EXPEDITION,2015,13895,11545.0,2350.0,0.01
ford,E350,2013,17950,13203.0,4747.0,0.01
jeep,WRANGLER,2018,34995,19861.0,15134.0,0.01
kia,RIO,2023,14500,17905.0,3405.0,0.5214298489061137
ford,F350,2011,26999,10785.0,16214.0,0.01
chevrolet,TAHOE,2013,2500,12591.0,10091.0,1.0
chevrolet,MALIBU,2018,2000,11804.0,9804.0,1.0
gmc,Sierra 1500 Crew Cab,2011,21500,12516.0,8984.0,0.01
chevrolet,Suburban,2013,12500,12648.0,148.0,0.007345769220963562
toyota,4Runner,2012,12500,17943.0,5443.0,1.0
kia,SOUL,2015,9895,7244.0,2651.0,0.01
honda,ACCORD,2012,9895,8281.0,1614.0,0.01
ford,FLEX,2016,13495,11751.0,1744.0,0.01
nissan,JUKE,2012,7995,5929.0,2066.0,0.01
toyota,RAV4,2019,27995,22084.0,5911.0,0.01
chevrolet,TAHOE,2012,10995,11985.0,990.0,0.1248258102729072
nissan,TITAN,2018,28888,13662.0,15226.0,0.01
ford,F250,2017,38500,19359.0,19141.0,0.01
toyota,Prius,2013,12248,10081.0,2167.0,0.01
chevrolet,Silverado 1500 Crew Cab,2019,32792,23404.0,9388.0,0.01
ford,F350,2020,49781,40517.0,9264.0,0.01
ford,F350,2020,49781,40517.0,9264.0,0.01
kia,K5,2016,-1,26745.0,26746.0,1.0
chevrolet,Silverado 2500 HD Crew Cab,2015,24900,18862.0,6038.0,0.01
bmw,iX,2011,2500,88095.0,85595.0,1.0
nissan,Sentra,2020,4800,16238.0,11438.0,1.0
gmc,Sierra 2500 HD Crew Cab,2020,997,37324.0,36327.0,1.0
